country,Comercio (% del PIB),Comercio de mercaderías (% del PIB),Comercio de servicios (% del PIB),"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",Personas que usan Internet (% de la población),"Población activa, total",Población urbana,Servidores de Internet seguros,year
Puerto Rico,107.592859643249,0,0,0,77.73643937,1107790,2988531,1347,2019
República Dominicana,51.0111449209557,35.3727684374613,15.2625383715714,-4016800000,75.8,5114924,8904426,1215,2019
Uruguay,49.6070435797376,26.0096373023522,16.3407520978793,3750797420.19123,83.35153377,1734106,3271594,6262,2019
Venezuela,0,0,0,0,0,10911942,25564613,6191,2019
Argentina,30.2197998857878,25.2212334248001,5.57910473210007,12092401048.1974,85.5,19406591,41796990,167248,2020
Bolivia,45.5032625935066,38.4795525610943,5.9336031957395,-878284968.093901,59.94010155,5277798,8369995,2452,2020
Brasil,32.8904521044545,25.9234002157352,5.39106535459719,11428292341.895,81.34269353,96675660,185636418,656211,2020
Chile,58.5041598225598,52.7434337568543,7.38165123932192,11615622289.3252,88.3,8685869,16931587,246876,2020
Colombia,33.9042313203213,27.5608598413707,5.93717866942667,-13088650574.1895,69.79,24932942,41470292,20646,2020
Costa Rica,60.1050719309166,43.8575871499209,19.3165983508554,2294286461.15425,80.53018608,2379542,4137983,6722,2020
Ecuador,41.3752300759532,38.5462450802753,4.62774971154592,2523290847.77073,70.7,7769265,11285898,6711,2020
El Salvador,69.4511505507059,62.1910497976226,14.76823565624,-4468706908.27256,54.60137027,2579817,4621633,876,2020
Guatemala,41.1586391233494,38.2941236920377,6.97255033197551,-6553973700,49.97,6374495,8738685,1798,2020
México,76.9003537108958,74.3179791516955,4.15666964107825,22907677376,71.96819405,52220676,101719689,41615,2020
Panamá,74.0772366007744,44.8765214813717,21.5613184350029,2677199307.5885,64.25,1823540,2937968,6371,2020
Paraguay,63.0946504348223,52.8756656278613,4.47723571323192,1333686928.75003,73.95751114,3285518,4115703,3391,2020
Perú,43.5300075609379,37.5498767978506,5.00848767511838,3530639260.36895,65.25179881,15934543,26076625,15020,2020
Puerto Rico,103.616762909834,0,0,0,0,1084139,3070896,1460,2020
República Dominicana,44.2936565524675,34.760737488246,9.87307931927984,-5412500000,76.9,4804576,9079123,1375,2020
Uruguay,45.8233855282594,26.9376336973642,13.1366604126374,2383885309.42104,86.1,1676268,3275291,6677,2020
Venezuela,0,0,0,0,0,10303923,25151087,5531,2020
Argentina,32.97948188967,28.9638919400339,4.6178609854266,15052826488.507,87.14829302,21206029,42248949,0,2021
Bolivia,59.0183338683215,50.9525186835537,6.26612341852153,639415250.39602,0,6322445,8513008,0,2021
Brasil,39.1761221482005,32.0392132534216,5.1858192812492,19251558972.18,0,99470102,187143228,0,2021
Chile,64.4322387505836,58.9399101114338,7.53653453389369,-1451165996.23634,0,8684417,17118329,0,2021
Colombia,40.8511859248148,32.2415143709031,7.05263905638198,-20047321018.7257,0,26137054,42109638,0,2021
Costa Rica,70.6061336215437,56.3482045038561,21.1031452283016,1462743000.71126,82.74901607,2426145,4196609,0,2021
Ecuador,51.3860085688935,49.3435432439274,6.29345860229756,757676583.26759,0,8527976,11454802,0,2021
El Salvador,84.3684122248228,75.5299624803476,18.331374153094,-7262999848.2196,0,2657508,4679934,0,2021
Guatemala,49.8615524486079,46.9380089268239,8.13195123450308,-12070301980,50.84164945,6670627,8938987,0,2021
México,83.6152716218668,79.9173919859914,5.17680936672124,-22516226831,71.96819405,56132488,102651435,0,2021
Panamá,92.6980933918821,53.0727881883685,23.5952629992406,2610178255.05,0,1966360,2992584,0,2021
Paraguay,70.8010813719237,61.0374391142519,4.74860044193375,700271606.749922,77.01838621,3430255,4189606,0,2021
Perú,55.5036001948422,49.4128771778351,5.93104432076013,7486325479.1527,71.10782643,18351926,26466645,0,2021
Puerto Rico,96.6716013131104,0,0,0,0,1136398,3054454,0,2021
República Dominicana,52.7348670680051,38.8408939514213,13.2052672944907,-8032300000,0,5027108,9251516,0,2021
Uruguay,56.8059244492139,33.4780386189593,12.8977736588571,3769252077.37533,0,1702310,3275607,0,2021
Venezuela,0,0,0,0,0,10244756,24907533,0,2021
