país Name,país Code,serie Name,serie Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Perú,PER,Personas que usan Internet (% de la población),IT.NET.USER.ZS,50.45041218,55.05433424,59.95050106,65.25179881,71.10782643
Perú,PER,Servidores de Internet seguros,IT.NET.SECR,6873,8232,12505,15020,..
Perú,PER,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,39.4958072730814,41.0072519778892,38.8606525071393,37.5498767978506,49.4128771778351
Perú,PER,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,7.10992625316961,7.25433498170474,7.60864408257562,5.00848767511838,5.93104432076013
Perú,PER,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,3995027828.50836,3819124582.1156,2898188474.76938,3530639260.36895,7486325479.1527
Perú,PER,Comercio (% del PIB),NE.TRD.GNFS.ZS,47.5135503619971,48.631470171736,46.9435053754409,43.5300075609379,55.5036001948422
Perú,PER,"Población activa, total",SL.TLF.TOTL.IN,17556265,18029865,18527166,15934543,18351926
Perú,PER,Población urbana,SP.URB.TOTL,24563784,25089127,25635888,26076625,26466645
Bolivia,BOL,Personas que usan Internet (% de la población),IT.NET.USER.ZS,43.83227607,44.2861422,47.47481911,59.94010155,..
Bolivia,BOL,Servidores de Internet seguros,IT.NET.SECR,1226,1478,1987,2452,..
Bolivia,BOL,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,45.6801393248895,47.0640530634123,45.3377029711301,38.4795525610943,50.9525186835537
Bolivia,BOL,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,12.0934589632339,11.2895090543327,10.5506446230245,5.9336031957395,6.26612341852153
Bolivia,BOL,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,-2173220117.97295,-1992410887.07075,-1686182613.50533,-878284968.093901,639415250.39602
Bolivia,BOL,Comercio (% del PIB),NE.TRD.GNFS.ZS,56.7046527339133,57.1099646333271,56.3973067329667,45.5032625935066,59.0183338683215
Bolivia,BOL,"Población activa, total",SL.TLF.TOTL.IN,5306478,5663066,5684739,5277798,6322445
Bolivia,BOL,Población urbana,SP.URB.TOTL,7899666,8058094,8217386,8369995,8513008
El Salvador,SLV,Personas que usan Internet (% de la población),IT.NET.USER.ZS,33.8207289,43.8,50.49119319,54.60137027,..
El Salvador,SLV,Servidores de Internet seguros,IT.NET.SECR,393,582,608,876,..
El Salvador,SLV,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,65.3824243300123,66.7503175338238,65.127446231819,62.1910497976226,75.5299624803476
El Salvador,SLV,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,17.5392432199236,18.3576699144452,19.7941419474511,14.76823565624,18.331374153094
El Salvador,SLV,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,-4111467489.96742,-4758306213.15004,-4411887021.63997,-4468706908.27256,-7262999848.2196
El Salvador,SLV,Comercio (% del PIB),NE.TRD.GNFS.ZS,74.3046511916519,75.6336168879956,76.0420130991468,69.4511505507059,84.3684122248228
El Salvador,SLV,"Población activa, total",SL.TLF.TOTL.IN,2666373,2668285,2728398,2579817,2657508
El Salvador,SLV,Población urbana,SP.URB.TOTL,4466558,4520410,4568607,4621633,4679934
Brasil,BRA,Personas que usan Internet (% de la población),IT.NET.USER.ZS,67.47128452,70.43428254,73.91244005,81.34269353,..
Brasil,BRA,Servidores de Internet seguros,IT.NET.SECR,328718,426560,578468,656211,..
Brasil,BRA,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,18.4560963629221,22.1565852829062,22.1157665292441,25.9234002157352,32.0392132534216
Brasil,BRA,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,5.19696796798875,5.56910547682349,5.55390356697494,5.39106535459719,5.1858192812492
Brasil,BRA,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,19000878536.47,7382267835.25499,-8942437868.94501,11428292341.895,19251558972.18
Brasil,BRA,Comercio (% del PIB),NE.TRD.GNFS.ZS,24.3197343746749,28.8762033745466,28.8902578692948,32.8904521044545,39.1761221482005
Brasil,BRA,"Población activa, total",SL.TLF.TOTL.IN,101746434,102779258,104559401,96675660,99470102
Brasil,BRA,Población urbana,SP.URB.TOTL,179958546,181939117,183878366,185636418,187143228
Guatemala,GTM,Personas que usan Internet (% de la población),IT.NET.USER.ZS,37.9,41.5,44.40104984,49.97,50.84164945
Guatemala,GTM,Servidores de Internet seguros,IT.NET.SECR,1155,1286,1559,1798,..
Guatemala,GTM,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,40.9997277265311,41.5502806632267,40.2446941848157,38.2941236920377,46.9380089268239
Guatemala,GTM,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,9.64185169484109,9.88469826611024,9.48576463527402,6.97255033197551,8.13195123450308
Guatemala,GTM,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,-6499967660,-7819058970,-7928956720,-6553973700,-12070301980
Guatemala,GTM,Comercio (% del PIB),NE.TRD.GNFS.ZS,46.0694204013621,47.011682071395,45.5178479962985,41.1586391233494,49.8615524486079
Guatemala,GTM,"Población activa, total",SL.TLF.TOTL.IN,6364813,6525569,6690127,6374495,6670627
Guatemala,GTM,Población urbana,SP.URB.TOTL,8153103,8345772,8540945,8738685,8938987
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from Database: Indicadores del desarrollo mundial,,,,,,,,
Last Updated: 12/22/2022,,,,,,,,
